,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,15,649,934,203,568,680,13.05,13.10
1,110/03/03,22,625,425,296,341,475,13.05,13.15
2,110/03/04,17,067,648,222,238,907,13.10,13.15
3,110/03/05,12,018,278,155,919,677,12.95,13.05
4,110/03/08,15,638,961,204,004,813,13.05,13.15
5,110/03/09,24,477,929,321,806,602,13.10,13.20
6,110/03/10,16,421,647,217,323,926,13.20,13.30
7,110/03/11,22,948,790,304,731,702,13.30,13.35
8,110/03/12,7,915,384,104,810,669,13.30,13.30
9,110/03/15,9,836,707,130,597,732,13.25,13.30
10,110/03/16,11,122,425,147,822,350,13.30,13.30
11,110/03/17,14,134,397,186,721,792,13.30,13.30
12,110/03/18,10,592,477,140,049,567,13.25,13.25
13,110/03/19,25,539,201,335,151,796,13.20,13.25
14,110/03/22,13,370,498,175,863,711,13.15,13.20
