,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,636,189,48,030,511,76.00,76.30,75.10
1,110/01/05,1,040,993,78,188,203,75.30,75.60
2,110/01/06,1,397,628,104,687,900,75.10,76.30
3,110/01/07,1,664,044,126,963,012,75.00,77.00
4,110/01/08,2,137,343,161,861,553,77.50,77.80
5,110/01/11,481,923,36,512,883,75.50,76.00,75.30
6,110/01/12,1,165,034,88,580,375,76.00,77.30
7,110/01/13,976,835,74,530,492,75.90,76.80,75.80
8,110/01/14,944,397,72,493,762,76.30,77.10,76.30
9,110/01/15,1,344,472,102,678,893,77.70,77.80
10,110/01/18,1,173,645,86,595,957,75.50,75.50
11,110/01/19,479,058,35,652,986,74.20,75.00,74.10
12,110/01/20,1,034,549,76,341,331,75.10,75.10
