,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,93,000,3,734,600,39.40,41.90,39.40
1,110/01/05,37,000,1,472,850,40.30,40.30,39.60
2,110/01/06,20,000,786,750,39.60,39.60,39.20,39.55
3,110/01/07,48,000,1,890,150,39.80,39.80,39.15
4,110/01/08,18,100,717,050,40.00,40.00,39.45,39.60
5,110/01/11,116,000,4,593,650,39.60,39.80,39.55
6,110/01/12,46,000,1,824,500,39.80,40.00,39.50
7,110/01/13,49,000,1,957,800,40.00,40.00,39.70
8,110/01/14,60,000,2,377,700,39.75,39.95,39.60
9,110/01/15,42,000,1,668,700,40.00,40.00,39.60
10,110/01/18,153,000,6,055,750,40.50,40.50,39.00
11,110/01/19,30,000,1,184,350,39.50,39.80,39.40
12,110/01/20,26,000,1,026,900,39.50,39.80,39.35
